2022-12-20 20:12:285 INFO  AddToCartPage :212 - Clicking on Cross button : [[ChromeDriver: chrome on WINDOWS (da8c64babcdbb99afd7aa26bb61aa8d6)] -> xpath: //span[@class='close']]
2022-12-20 20:12:982 INFO  AddToCartPage :223 - Verify Text Message : [[ChromeDriver: chrome on WINDOWS (da8c64babcdbb99afd7aa26bb61aa8d6)] -> xpath: //h1[text()='Shopping cart']]
2022-12-20 20:12:457 INFO  AddToCartPage :237 - Clicking on Update ShoppingCart : [[ChromeDriver: chrome on WINDOWS (da8c64babcdbb99afd7aa26bb61aa8d6)] -> xpath: //button[@id='updatecart']]
2022-12-20 20:12:193 INFO  AddToCartPage :242 - Verify Text  : [[ChromeDriver: chrome on WINDOWS (da8c64babcdbb99afd7aa26bb61aa8d6)] -> xpath: //tbody/tr[4]/td[2]/span[1]/strong[1]]
2022-12-20 20:12:303 INFO  AddToCartPage :247 - Clicking on CheckBox : [[ChromeDriver: chrome on WINDOWS (da8c64babcdbb99afd7aa26bb61aa8d6)] -> xpath: /html[1]/body[1]/div[6]/div[3]/div[1]/div[1]/div[1]/div[2]/div[1]/form[1]/div[3]/div[2]/div[3]/input[1]]
2022-12-20 20:12:502 INFO  AddToCartPage :252 - Clicking on CheckOut : [[ChromeDriver: chrome on WINDOWS (da8c64babcdbb99afd7aa26bb61aa8d6)] -> xpath: //button[@class='button-1 checkout-button']]
2022-12-20 20:12:333 INFO  AddToCartPage :257 - Verify Text Message : [[ChromeDriver: chrome on WINDOWS (da8c64babcdbb99afd7aa26bb61aa8d6)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-12-20 20:12:335 INFO  AddToCartPage :202 - Clicking on Add to oCart Link : [[ChromeDriver: chrome on WINDOWS (bbc4a02a33b1f7b8c0595359c71e9c90)] -> id: add-to-cart-button-1]
2022-12-20 20:12:757 INFO  AddToCartPage :207 - Get Text Message : [[ChromeDriver: chrome on WINDOWS (bbc4a02a33b1f7b8c0595359c71e9c90)] -> xpath: //div[@class='bar-notification success']/p[1]]
2022-12-20 20:12:904 INFO  AddToCartPage :212 - Clicking on Cross button : [[ChromeDriver: chrome on WINDOWS (bbc4a02a33b1f7b8c0595359c71e9c90)] -> xpath: //span[@class='close']]
2022-12-20 20:12:774 INFO  AddToCartPage :223 - Verify Text Message : [[ChromeDriver: chrome on WINDOWS (bbc4a02a33b1f7b8c0595359c71e9c90)] -> xpath: //h1[text()='Shopping cart']]
2022-12-20 20:12:329 INFO  AddToCartPage :237 - Clicking on Update ShoppingCart : [[ChromeDriver: chrome on WINDOWS (bbc4a02a33b1f7b8c0595359c71e9c90)] -> xpath: //button[@id='updatecart']]
2022-12-20 20:12:247 INFO  AddToCartPage :242 - Verify Text  : [[ChromeDriver: chrome on WINDOWS (bbc4a02a33b1f7b8c0595359c71e9c90)] -> xpath: //tbody/tr[4]/td[2]/span[1]/strong[1]]
2022-12-20 20:12:821 INFO  AddToCartPage :202 - Clicking on Add to oCart Link : [[ChromeDriver: chrome on WINDOWS (9e8f17fdd78c3aba14550c85cc7a11ba)] -> id: add-to-cart-button-1]
2022-12-20 20:12:623 INFO  AddToCartPage :207 - Get Text Message : [[ChromeDriver: chrome on WINDOWS (9e8f17fdd78c3aba14550c85cc7a11ba)] -> xpath: //div[@class='bar-notification success']/p[1]]
2022-12-20 20:12:738 INFO  AddToCartPage :212 - Clicking on Cross button : [[ChromeDriver: chrome on WINDOWS (9e8f17fdd78c3aba14550c85cc7a11ba)] -> xpath: //span[@class='close']]
2022-12-20 20:12:508 INFO  AddToCartPage :223 - Verify Text Message : [[ChromeDriver: chrome on WINDOWS (9e8f17fdd78c3aba14550c85cc7a11ba)] -> xpath: //h1[text()='Shopping cart']]
2022-12-20 20:12:957 INFO  AddToCartPage :237 - Clicking on Update ShoppingCart : [[ChromeDriver: chrome on WINDOWS (9e8f17fdd78c3aba14550c85cc7a11ba)] -> xpath: //button[@id='updatecart']]
2022-12-20 20:12:759 INFO  AddToCartPage :242 - Verify Text  : [[ChromeDriver: chrome on WINDOWS (9e8f17fdd78c3aba14550c85cc7a11ba)] -> xpath: //tbody/tr[4]/td[2]/span[1]/strong[1]]
2022-12-20 20:12:841 INFO  AddToCartPage :247 - Clicking on CheckBox : [[ChromeDriver: chrome on WINDOWS (9e8f17fdd78c3aba14550c85cc7a11ba)] -> xpath: /html[1]/body[1]/div[6]/div[3]/div[1]/div[1]/div[1]/div[2]/div[1]/form[1]/div[3]/div[2]/div[3]/input[1]]
2022-12-20 20:12:10 INFO  AddToCartPage :252 - Clicking on CheckOut : [[ChromeDriver: chrome on WINDOWS (9e8f17fdd78c3aba14550c85cc7a11ba)] -> xpath: //button[@class='button-1 checkout-button']]
2022-12-20 20:12:780 INFO  AddToCartPage :257 - Verify Text Message : [[ChromeDriver: chrome on WINDOWS (9e8f17fdd78c3aba14550c85cc7a11ba)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
